Year,ID,Realization,Instance,NAO Index,NAO Anomaly
1960,r1.0i1.0,1,1,30.44036865234375,3.4006851859714686
1960,r1.0i2.0,1,2,25.10150146484375,-1.2817555303158983
1960,r2.0i1.0,2,1,24.8721923828125,-1.2712428880774453
1960,r2.0i2.0,2,2,26.513671875,0.2489982273267657
1960,r3.0i1.0,3,1,29.22271728515625,2.4569224481997267
1960,r3.0i2.0,3,2,22.531494140625,-2.8214788022248634
1960,r4.0i1.0,4,1,24.06768798828125,-2.4194402280061134
1960,r4.0i2.0,4,2,25.35882568359375,-0.7213453209918477
1960,r5.0i1.0,5,1,27.5523681640625,1.5704717221467384
1960,r5.0i2.0,5,2,28.5181884765625,2.6418297809103244
1960,r6.0i1.0,6,1,24.884765625,-1.1062409774116837
1960,r6.0i2.0,6,2,24.884765625,-1.0288324770720116
1960,r7.0i1.0,7,1,26.48773193359375,-0.434421705163043
1960,r7.0i2.0,7,2,26.48773193359375,0.2546479598335587
1960,r8.0i1.0,8,1,20.93414306640625,-5.370486052139945
1960,r8.0i2.0,8,2,20.93414306640625,-5.489865510360055
1960,r9.0i1.0,9,1,24.49334716796875,-2.071101976477582
1960,r9.0i2.0,9,2,24.49334716796875,-1.5666172193444297
1960,r10.0i1.0,10,1,24.26702880859375,-1.903698465098504
1960,r10.0i2.0,10,2,24.26702880859375,-2.0865412173063866
1961,r1.0i1.0,1,1,25.9722900390625,-1.0673934273097814
1961,r1.0i2.0,1,2,27.47442626953125,1.0911692743716017
1961,r2.0i1.0,2,1,29.03515625,2.8917209791100547
1961,r2.0i2.0,2,2,28.0062255859375,1.7415519382642657
1961,r3.0i1.0,3,1,28.93896484375,2.1731700067934767
1961,r3.0i2.0,3,2,27.05218505859375,1.6992121157438866
1961,r4.0i1.0,4,1,29.824951171875,3.3378229555876366
1961,r4.0i2.0,4,2,30.1175537109375,4.037382706351902
1961,r5.0i1.0,5,1,25.596435546875,-0.38546089504076164
1961,r5.0i2.0,5,2,26.1904296875,0.3140709918478244
1961,r6.0i1.0,6,1,22.65521240234375,-3.3357942000679337
1961,r6.0i2.0,6,2,27.25982666015625,1.3462285580842384
1961,r7.0i1.0,7,1,24.9395751953125,-1.982578443444293
1961,r7.0i2.0,7,2,25.69830322265625,-0.5347807511039413
1961,r8.0i1.0,8,1,26.3916015625,0.08697244395380466
1961,r8.0i2.0,8,2,27.1773681640625,0.7533595872961953
1961,r9.0i1.0,9,1,28.352294921875,1.787845777428668
1961,r9.0i2.0,9,2,30.3594970703125,4.29953268299932
1961,r10.0i1.0,10,1,27.73388671875,1.563159445057746
1961,r10.0i2.0,10,2,24.8365478515625,-1.5170221743376366
1962,r1.0i1.0,1,1,30.341552734375,3.3018692680027186
1962,r1.0i2.0,1,2,24.5662841796875,-1.8169728154721483
1962,r2.0i1.0,2,1,22.9222412109375,-3.2211940599524453
1962,r2.0i2.0,2,2,24.843505859375,-1.4211677882982343
1962,r3.0i1.0,3,1,28.6256103515625,1.8598155146059767
1962,r3.0i2.0,3,2,25.1473388671875,-0.20563407566236336
1962,r4.0i1.0,4,1,25.21044921875,-1.2766789975373634
1962,r4.0i2.0,4,2,28.7108154296875,2.6306444251019023
1962,r5.0i1.0,5,1,27.33892822265625,1.3570317807404884
1962,r5.0i2.0,5,2,24.7508544921875,-1.1255042034646756
1962,r6.0i1.0,6,1,26.40655517578125,0.4155485733695663
1962,r6.0i2.0,6,2,26.116455078125,0.20285697605298836
1962,r7.0i1.0,7,1,31.06951904296875,4.147365404211957
1962,r7.0i2.0,7,2,19.38946533203125,-6.843618641728941
1962,r8.0i1.0,8,1,28.423095703125,2.1184665845788047
1962,r8.0i2.0,8,2,26.9027099609375,0.47870138417119534
1962,r9.0i1.0,9,1,26.00665283203125,-0.557796312415082
1962,r9.0i2.0,9,2,26.831298828125,0.7713344408118203
1962,r10.0i1.0,10,1,26.47076416015625,0.30003688646399596
1962,r10.0i2.0,10,2,25.07269287109375,-1.2808771548063866
1963,r1.0i1.0,1,1,27.211181640625,0.17149817425271863
1963,r1.0i2.0,1,2,27.1253662109375,0.7421092157778517
1963,r2.0i1.0,2,1,26.34906005859375,0.20562478770380466
1963,r2.0i2.0,2,2,28.43963623046875,2.1749625827955157
1963,r3.0i1.0,3,1,29.12969970703125,2.3639048700747267
1963,r3.0i2.0,3,2,23.6064453125,-1.7465276303498634
1963,r4.0i1.0,4,1,27.78179931640625,1.2946711001188866
1963,r4.0i2.0,4,2,25.5615234375,-0.5186475670855977
1963,r5.0i1.0,5,1,23.96197509765625,-2.0199213442595116
1963,r5.0i2.0,5,2,22.095703125,-3.7806555706521756
1963,r6.0i1.0,6,1,26.71417236328125,0.7231657608695663
1963,r6.0i2.0,6,2,18.78070068359375,-7.132897418478262
1963,r7.0i1.0,7,1,29.78460693359375,2.862453294836957
1963,r7.0i2.0,7,2,23.6041259765625,-2.6289579971976913
1963,r8.0i1.0,8,1,22.74578857421875,-3.5588405443274453
1963,r8.0i2.0,8,2,26.92626953125,0.5022609544836953
1963,r9.0i1.0,9,1,28.3892822265625,1.824833082116168
1963,r9.0i2.0,9,2,27.4295654296875,1.3696010423743203
1963,r10.0i1.0,10,1,24.92938232421875,-1.241344949473504
1963,r10.0i2.0,10,2,29.61273193359375,3.2591619076936134
1964,r1.0i1.0,1,1,28.60443115234375,1.5647476859714686
1964,r1.0i2.0,1,2,23.499755859375,-2.8835011357846483
1964,r2.0i1.0,2,1,25.8524169921875,-0.29101827870244534
1964,r2.0i2.0,2,2,29.6171875,3.3525138523267657
1964,r3.0i1.0,3,1,27.18902587890625,0.4232310419497267
1964,r3.0i2.0,3,2,25.52911376953125,0.17614082668138664
1964,r4.0i1.0,4,1,23.509033203125,-2.9780950131623634
1964,r4.0i2.0,4,2,29.12506103515625,3.0448900305706523
1964,r5.0i1.0,5,1,28.03643798828125,2.0545415463654884
1964,r5.0i2.0,5,2,24.54522705078125,-1.3311316448709256
1964,r6.0i1.0,6,1,28.48333740234375,2.4923307999320663
1964,r6.0i2.0,6,2,26.25750732421875,0.34390922214673836
1964,r7.0i1.0,7,1,27.09918212890625,0.17702849014945699
1964,r7.0i2.0,7,2,26.2791748046875,0.0460908309273087
1964,r8.0i1.0,8,1,25.14801025390625,-1.1566188646399453
1964,r8.0i2.0,8,2,25.84222412109375,-0.5817844556725547
1964,r9.0i1.0,9,1,27.1759033203125,0.611454175866168
1964,r9.0i2.0,9,2,21.9522705078125,-4.10769387950068
1964,r10.0i1.0,10,1,24.1475830078125,-2.023144265879754
1964,r10.0i2.0,10,2,31.92803955078125,5.574469524881113
1965,r1.0i1.0,1,1,32.45855712890625,5.418873662533969
1965,r1.0i2.0,1,2,30.240234375,3.8569773798403517
1965,r2.0i1.0,2,1,26.873046875,0.7296116041100547
1965,r2.0i2.0,2,2,24.1605224609375,-2.1041511867357343
1965,r3.0i1.0,3,1,24.31744384765625,-2.4483509893002733
1965,r3.0i2.0,3,2,28.12322998046875,2.7702570376188866
1965,r4.0i1.0,4,1,25.6231689453125,-0.8639592709748634
1965,r4.0i2.0,4,2,26.91436767578125,0.8341966711956523
1965,r5.0i1.0,5,1,26.7740478515625,0.7921514096467384
